Unnamed: 0,Product,Review_Summary,Rating
135728,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))",good,4
135729,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))",Good for gaming,5
135730,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))","Good product, as per price it is value for money",4
135731,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))",Just go for it.,5
135732,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))",Great quality chair with great ergonomic support for the back. Works well for long working hours.,5
135733,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))","I am very happy with the product. I would recommend this for people working from home ... Product is as per description, easy to install.It's absolutely an amazing chair which is ergonomically fit and comfortable.",5
135734,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))",Just a ok ok product.Back support is quite goodBut head support is pathetic,3
135735,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))","Good study chair, value for money",5
135736,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))",Product is good.,5
135737,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))",I have been used this chair 6 month. It is mind blowing . You can purchase blandly. Support team also very responsive.,3
135738,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))",Superb,5
135739,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))","Awesome product, easy to install and good comfort",5
