Unnamed: 0,Product,Review_Summary,Rating
151083,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Very nice  ??? love ????,5
151084,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Super shoe,5
151085,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good,3
151086,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Very nice product ??????¯??????¯?????????¯Comfortable product for me ????????????According to price very good,4
151087,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Amazing ??? shoe,5
151088,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Worth buying??,5
151089,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good quality and best product thanks  Flipkart ????????????,5
151090,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",It's a good shoe,5
151091,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Niec,5
151092,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",?????? nice,5
151093,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good job sir Thx,5
151094,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",This is very great product. This is sneaker is very comfortable to me and this is 5th product that I will order with Flipkart and this is my best experience .??ø????????,5
151095,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice product and good quality  . I m happy with the product ??????,4
151096,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",I have very bad experience to avail that products. One sides of a pair shooes was delivered me when I want to return that products it was told me that we can't accept that products due to dirty. Really very bad experience.,1
151097,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Excellent Product,5
151098,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",SUPER AND NO.1 QUALITY PRODUCT...VERY GOOD ITEM...ITS ORIGINAL PRODUCT...MUST BYE IT...5/5,5
151099,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Excellent product very much satisfied value for money ?????????,5
151100,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Shoe is good but in first day wear it's damage happens... Good in look not in strong it's weak ????,3
151101,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)","Nice product, value of money",4
151102,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",It's good looking,5
151103,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice,5
151104,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Very nice products quality was good to the value of shoes,5
151105,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Not bad,5
151106,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Shoes is good but delivery man is very slow bad,1
151107,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good looking shoes with good quality,5
151108,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice ????,5
151109,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Iit is ok at this price range.You can buy it. If your budget is low.,4
151110,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",It's up to my expectations,5
151111,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good Product,4
151112,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",This product is good according to rang . ????????????,3
151113,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good shoes,4
151114,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice???????????????? one prodect,5
151115,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good quality,5
151116,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",ITs ok,3
151117,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Bad,3
151118,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice ???? product,3
151119,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Very nice,5
151120,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good product ???,4
151121,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Berry good product  for collage student,5
151122,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Very nice,4
151123,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Quality of product was not much as expected,3
151124,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice product,5
151125,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice product,5
151126,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice???? I am happy,5
151127,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good Product ???,5
151128,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Comfortable and Nice quality,5
151129,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)","Nice shoes, for this price it's the best deal??????®ø",5
151130,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Not comfortable,2
151131,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Very good??? products,3
151132,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good quality best product,4
151133,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",I'm happy,5
151134,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Low quality,1
151135,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Ok but quality is  not acceptable as per brand,3
151136,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice post,5
151137,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good product,5
151138,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good quality products,5
151139,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Super product  value for money Worth money five stars,5
151140,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Khub bhalo,4
151141,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good price,4
151142,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",It's ok,5
151143,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Cheep quality,1
151144,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good product,5
151145,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Khub bhalo,4
151146,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good product ??,5
151147,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Wooow.. nice shoes of this range.I m sooooooo happy.,5
151148,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Best product ????,5
151149,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good product,4
151150,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good,5
151151,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Very nice,5
151152,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",,5
151153,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Product is awesome.,4
151154,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Super,5
151155,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice products comfortable,4
151156,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Very good product,5
151157,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Tooo baad as you didn't expect,1
151158,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Flipkart the very nice  application.. My life  full purchasing.. Flipkart ??I like ??,5
151159,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good,5
151160,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Thank u,5
151161,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Super and nice color Size is fit which look before.rate=correct product,5
151162,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Very Nice,4
151163,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",quality of shoes is amazing but the packaging is average. I disappointed for the box of the shoes.,5
151164,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Ok nice?????????,5
151165,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",It's Awsome ????????????,5
151166,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Excellent comfortable shoes,5
151167,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice ???????,5
151168,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",,4
151169,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Iit is ok at this price range.You can buy it. If your budget is low.,4
151170,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",,4
151171,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good Product ???,4
151172,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Super,5
151173,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",This is very nice shoes,5
151174,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice,5
151175,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Bad product,1
151176,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Pure bed product,1
151177,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice shoes,5
151178,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Ok,5
151179,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",The product was too much good i am very happy  thnxx alot,5
151180,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Waste quality money waste very cheap product,1
151181,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Bad quality ???­???­,1
151182,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",So good ????,5
151183,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Osm products ?????????,5
151184,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",,5
151185,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice shoes,5
151186,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",very comfortable and attractive,5
151187,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Must buy,4
151188,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice,5
151189,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good,4
151190,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice product and good quality  . I m happy with the product ??????,4
151191,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Waste for collegeBetter to school students,1
151192,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Ok product in this price range...,3
151193,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice,3
151194,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Not good,1
151195,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)","Very nice product,,",5
151196,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Solid,5
151197,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Nice,4
151198,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Hard soul..... Very hard low quality ??????¯??????¯??????¯??????¯??????¯???ª,1
151199,"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men?ÿ?ÿ(White, Black, Red)",Good,4
